商品コード,商品名,カテゴリ名,販売価格,更新日,在庫数,在庫インポートフラグ,在庫扱いの種別
000851,あじフライ,揚物,420,2018/12/15 02:20:11,999998666,インポート可,在庫がないと注文できない
000852,カニクリームコロッケ,揚物,452,2018/12/15 02:20:11,999999572,インポート可,在庫がないと注文できない
000853,クリーミーグラタンフライ,揚物,294,2018/12/15 02:20:11,53,インポート可,在庫がないと注文できない
000854,クリーミーグラタンフライ（セット）,揚物,529,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000855,チーズINベーコンチキンカツ,揚物,473,2018/12/15 02:20:11,999999747,インポート可,在庫がないと注文できない
000856,ヘルシーおからコロッケ,揚物,378,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000857,完熟トマトのスープご飯,麺・丼物,420,2018/12/15 02:20:11,999999852,インポート可,在庫がないと注文できない
000858,野菜チゲスープご飯,麺・丼物,420,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000859,白湯・鶏スープご飯,麺・丼物,420,2018/12/15 02:20:11,999999853,インポート可,在庫がないと注文できない
000860,柿の葉ずし,麺・丼物,599,2018/12/15 02:20:11,999999758,インポート可,在庫がないと注文できない
000861,押し穴子寿司,麺・丼物,462,2018/12/15 02:20:11,999999813,インポート可,在庫がないと注文できない
000862,さんま寿司（三陸）,麺・丼物,651,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000863,牛丼の具,麺・丼物,567,2018/12/15 02:20:11,999999535,インポート可,在庫がないと注文できない
000864,中華丼の具（塩味）,麺・丼物,452,2018/12/15 02:20:11,999998998,インポート可,在庫がないと注文できない
000865,イベリコ豚重の素,麺・丼物,305,2018/12/15 02:20:11,999999776,インポート可,在庫がないと注文できない
000866,牛すき焼き重の素,麺・丼物,294,2018/12/15 02:20:11,999999608,インポート可,在庫がないと注文できない
000867,一口鶏おこわ,麺・丼物,399,2018/12/15 02:20:11,999999669,インポート可,在庫がないと注文できない
000868,栗おこわ,麺・丼物,273,2018/12/15 02:20:11,999999472,インポート可,在庫がないと注文できない
000869,中華肉ちまき（松の実入り）,麺・丼物,672,2018/12/15 02:20:11,999999623,インポート可,在庫がないと注文できない
000870,完熟ふっくらオムライス,麺・丼物,326,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000871,焼きおにぎり（山菜）,麺・丼物,662,2018/12/15 02:20:11,999999653,インポート可,在庫がないと注文できない
000872,こんがり焼きおにぎり,麺・丼物,644,2018/12/15 02:20:11,999999562,インポート可,在庫がないと注文できない
000873,プチ焼おにぎり（おかか）,麺・丼物,410,2018/12/15 02:20:11,999999901,インポート可,在庫がないと注文できない
000874,肉巻きおにぎり,麺・丼物,588,2018/12/15 02:20:11,999999712,インポート可,在庫がないと注文できない
000875,●えびピラフ,ピラフ,242,2018/12/15 02:20:11,999997795,インポート可,在庫がないと注文できない
000876,ドライカレー,ピラフ,242,2018/12/15 02:20:11,999998811,インポート可,在庫がないと注文できない
000877,●チキンライス,ピラフ,242,2018/12/15 02:20:11,999998439,インポート可,在庫がないと注文できない
000878,焼豚炒飯,ピラフ,242,2018/12/29 02:20:00,999998225,インポート可,在庫がないと注文できない
000879,●高菜ピラフ,ピラフ,242,2018/12/15 02:20:11,999998533,インポート可,在庫がないと注文できない
000880,4種のきのこピラフ,ピラフ,242,2019/01/31 02:20:00,999998609,インポート可,在庫がないと注文できない
000881,桜えびごはん（麦入り）,ピラフ,231,2018/12/15 02:20:11,999999260,インポート可,在庫がないと注文できない
000882,鶏五目ごはん（五穀入り）,ピラフ,231,2018/12/15 02:20:11,999998937,インポート可,在庫がないと注文できない
000883,八穀ご飯,ピラフ,221,2018/12/15 02:20:11,999999336,インポート可,在庫がないと注文できない
000884,梅ごはん（発芽玄米入り）,ピラフ,231,2018/12/15 02:20:11,999998931,インポート可,在庫がないと注文できない
000885,じゃこご飯（麦入り）,ピラフ,231,2018/12/15 02:20:11,999998936,インポート可,在庫がないと注文できない
000886,ひじきご飯（発芽玄米入り）,ピラフ,231,2018/12/15 02:20:11,999998771,インポート可,在庫がないと注文できない
000887,茄子とトマトのスパゲティ,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000888,きのこスパゲティ,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000889,たらこスパゲティ,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000890,スパゲティミートソース,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000891,スパゲティカルボナーラソース,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000892,牛挽肉のピリ辛醤油スパゲティ,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000893,スパゲティペペロンチーノ,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000894,スパゲティナポリタン,パスタ【まとめ割】,294,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000895,うどん屋さんのうどん,全24品【まとめ割】,422,2018/12/15 02:20:11,999999496,インポート可,在庫がないと注文できない
000896,焼うどん（醤油味）,全24品【まとめ割】,494,2018/12/15 02:20:11,999999569,インポート可,在庫がないと注文できない
000897,お好みソース焼そば,全24品【まとめ割】,693,2018/12/15 02:20:11,999999555,インポート可,在庫がないと注文できない
000898,醤油ラーメンセット,全24品【まとめ割】,294,2019/01/31 02:20:00,999998782,インポート可,在庫がないと注文できない
000899,●ちゃんぽんセット,全24品【まとめ割】,357,2018/12/15 02:20:11,999999583,インポート可,在庫がないと注文できない
000900,はるさめ炒め物,全24品【まとめ割】,284,2018/12/15 02:20:11,6,インポート可,在庫がないと注文できない
000901,調理焼ビーフン,全24品【まとめ割】,294,2018/12/15 02:20:11,999998450,インポート可,在庫がないと注文できない
000902,●ベイクドチーズケーキ,洋菓子,588,2018/12/15 02:20:11,999999519,インポート可,在庫がないと注文できない
000903,京おはぎ,和菓子,735,2018/12/15 02:20:11,2,インポート可,在庫がないと注文できない
000904,渋皮栗モンブラン,洋菓子,672,2018/12/29 02:20:00,999999621,インポート可,在庫がないと注文できない
000905,白いチーズモンブラン,洋菓子,651,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000906,桜餅,和菓子,326,2018/12/15 02:20:11,999999627,インポート可,在庫がないと注文できない
000907,笹団子,和菓子,494,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000908,柚子と豆乳のレアチーズ,洋菓子,473,2018/12/15 02:20:11,999999662,インポート可,在庫がないと注文できない
000909,チョコレートケーキ倶楽部,和菓子,641,2018/12/15 02:20:11,999999753,インポート可,在庫がないと注文できない
000910,たいやき（小倉餡）,和菓子,494,2018/12/15 02:20:11,999999511,インポート可,在庫がないと注文できない
000911,ミニおはぎ,和菓子,386,2018/12/15 02:20:11,999999774,インポート可,在庫がないと注文できない
000912,スイートポテト,洋菓子,483,2018/12/15 02:20:11,999999649,インポート可,在庫がないと注文できない
000913,クワトロベリートルテ,洋菓子,654,2018/12/15 02:20:11,999999808,インポート可,在庫がないと注文できない
000914,ブルーベリー,果物,480,2018/12/15 02:20:11,999999178,インポート可,在庫がないと注文できない
000915,カット マンゴ,果物,609,2018/12/15 02:20:11,999999557,インポート可,在庫がないと注文できない
000916,●北海道まるごと野菜ミックス,野菜,263,2018/12/15 02:20:11,999999165,インポート可,在庫がないと注文できない
000917,北海道ホールコーン,野菜,189,2018/12/15 02:20:11,999999276,インポート可,在庫がないと注文できない
000918,ほうれん草カット,野菜,478,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000919,小松菜カット,野菜,452,2018/12/15 02:20:11,999999471,インポート可,在庫がないと注文できない
000920,インゲン,野菜,357,2018/12/15 02:20:11,999999583,インポート可,在庫がないと注文できない
000921,ブロッコリー,野菜,347,2018/12/15 02:20:11,999999700,インポート可,在庫がないと注文できない
000922,里芋,野菜,623,2018/12/15 02:20:11,999999541,インポート可,在庫がないと注文できない
000923,栗かぼちゃ,野菜,273,2018/12/15 02:20:11,999999159,インポート可,在庫がないと注文できない
000924,カット揚げなす,野菜,420,2018/12/15 02:20:11,999999670,インポート可,在庫がないと注文できない
000925,そのまま黒えだ豆,野菜,494,2018/12/15 02:20:11,999999632,インポート可,在庫がないと注文できない
000926,オニオンソテー（20％）,野菜,399,2018/12/15 02:20:11,999999767,インポート可,在庫がないと注文できない
000927,ポテトサラダベース,野菜,427,2018/12/15 02:20:11,999999713,インポート可,在庫がないと注文できない
000928,大和芋 とろろ,野菜,616,2018/12/15 02:20:11,999999009,インポート可,在庫がないと注文できない
000929,大根おろし,野菜,294,2018/12/15 02:20:11,999999729,インポート可,在庫がないと注文できない
000930,ささがきごぼう,野菜,399,2018/12/15 02:20:11,999999528,インポート可,在庫がないと注文できない
000931,和風野菜ミックス,野菜,452,2018/12/15 02:20:11,999999687,インポート可,在庫がないと注文できない
000932,青ねぎ,野菜,357,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000933,乾燥スライスにんにく,野菜,210,2018/12/15 02:20:11,999999754,インポート可,在庫がないと注文できない
000934,人参・ごぼうと里芋の白和え,介護食,231,2018/12/15 02:20:11,999999855,インポート可,在庫がないと注文できない
000935,ほうれん草の白和え,介護食,178,2018/12/15 02:20:11,999999840,インポート可,在庫がないと注文できない
000936,豆腐つくねボール,介護食,189,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000937,野菜つくねボール,介護食,178,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000938,ひじきつくねボール,介護食,178,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000939,白玉ぜんざい（こしあんタイプ）,介護食,315,2018/12/15 02:20:11,999999932,インポート可,在庫がないと注文できない
000940,鶏のトマト煮込み風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000941,豚の角煮風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000942,鮭の西京焼風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000943,鯖の味噌煮風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000944,カレイの煮付け風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000945,鶏の照り焼き風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000946,ほうれん草のおひたし風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000947,かぼちゃの煮物風ムース,介護食,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000948,カットバター,米・乾物・調味料ほか,1344,2019/04/19 02:20:00,999999672,インポート可,在庫がないと注文できない
000949,オリゴ糖,米・乾物・調味料ほか,798,2018/12/15 02:20:11,999999767,インポート可,在庫がないと注文できない
000950,ｵｰｶﾞﾆｯｸEXバージンオリーブオイル,米・乾物・調味料ほか,1103,2018/12/15 02:20:11,999999864,インポート可,在庫がないと注文できない
000951,ゆずたまねぎドレッシング,米・乾物・調味料ほか,410,2018/12/15 02:20:11,999999872,インポート可,在庫がないと注文できない
000952,アカシア はちみつ,米・乾物・調味料ほか,788,2018/12/15 02:20:11,999999369,インポート可,在庫がないと注文できない
000953,寺岡家の有機うま味醤油（減塩）,米・乾物・調味料ほか,609,2018/12/15 02:20:11,16,インポート可,在庫がないと注文できない
000954,無添加有機醤油,米・乾物・調味料ほか,336,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000955,天外天 味噌,米・乾物・調味料ほか,688,2018/12/15 02:20:11,999999855,インポート可,在庫がないと注文できない
000956,天外天 塩,米・乾物・調味料ほか,336,2018/12/15 02:20:11,999999848,インポート可,在庫がないと注文できない
000957,まちこがれ　5kg,米・乾物・調味料ほか,3266,2018/12/15 02:20:11,999999808,インポート可,在庫がないと注文できない
000958,新潟産コシヒカリ(特別栽培米) 2kg,米・乾物・調味料ほか,1155,2018/12/15 02:20:11,999999625,インポート可,在庫がないと注文できない
000959,椎茸どんこ,米・乾物・調味料ほか,966,2018/12/15 02:20:11,999999849,インポート可,在庫がないと注文できない
000960,日高昆布,米・乾物・調味料ほか,294,2018/12/15 02:20:11,999999754,インポート可,在庫がないと注文できない
000961,カットわかめ(乾燥）,米・乾物・調味料ほか,434,2018/12/15 02:20:11,85,インポート可,在庫がないと注文できない
000962,おかか,米・乾物・調味料ほか,263,2018/12/15 02:20:11,999999852,インポート可,在庫がないと注文できない
000963,四万十川　川のり佃煮,米・乾物・調味料ほか,347,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000964,ゆず漬けの素,米・乾物・調味料ほか,189,2018/12/15 02:20:11,999999768,インポート可,在庫がないと注文できない
000965,万能！旨いラー油,米・乾物・調味料ほか,567,2018/12/15 02:20:11,999999884,インポート可,在庫がないと注文できない
000966,和風だしの素（化学調味料無し）,米・乾物・調味料ほか,305,2018/12/15 02:20:11,999999811,インポート可,在庫がないと注文できない
000967,レトルト コーンスープ,米・乾物・調味料ほか,986,2018/12/29 02:20:00,999999421,インポート可,在庫がないと注文できない
000968,ブルマンブレンド コーヒー（粉）,米・乾物・調味料ほか,850,2018/12/15 02:20:11,999999788,インポート可,在庫がないと注文できない
000969,ふる里の香 （煎茶）,米・乾物・調味料ほか,544,2018/12/15 02:20:11,999999708,インポート可,在庫がないと注文できない
000970,深海の恵み（海洋深層水）,米・乾物・調味料ほか,1764,2018/12/15 02:20:11,999999761,インポート可,在庫がないと注文できない
000971,りんごジュース（箱）,米・乾物・調味料ほか,4095,2018/12/15 02:20:11,999999936,インポート可,在庫がないと注文できない
000972,りんごジュース,米・乾物・調味料ほか,389,2018/12/15 02:20:11,999999256,インポート可,在庫がないと注文できない
000973,遠藤青汁,健康食品,3528,2018/12/15 02:20:11,999999989,インポート可,在庫がないと注文できない
000974,はちみつ黒酢,健康食品,861,2018/12/29 02:20:00,999999828,インポート可,在庫がないと注文できない
000975,マヌカハニー　UMF15+,健康食品,2415,2018/12/15 02:20:11,999999909,インポート可,在庫がないと注文できない
000976,プルーン　エキス,健康食品,819,2018/12/15 02:20:11,999999906,インポート可,在庫がないと注文できない
000977,生ローヤルゼリー,健康食品,3675,2018/12/15 02:20:11,999999948,インポート可,在庫がないと注文できない
000978,スクアレン-　G,健康食品,2310,2018/12/15 02:20:11,999999950,インポート可,在庫がないと注文できない
000979,コエンザイムQ10,健康食品,1764,2018/12/15 02:20:11,999999964,インポート可,在庫がないと注文できない
000980,DHA,健康食品,1575,2018/12/15 02:20:11,999999925,インポート可,在庫がないと注文できない
000981,うなぎタレ,水産加工品[低温解凍],10,2018/12/15 02:20:11,999999108,インポート可,在庫数によらず注文を受ける
003839,帆立貝柱,貝類,585,2018/12/15 02:20:11,0,インポート可,在庫数によらず注文を受ける
005371,（小）数の子（味付）,お刺身セット,268,2018/12/15 02:20:11,0,インポート可,在庫数によらず注文を受ける
007001,ギアナ海老　特大,えび,1785,2011/06/11 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007002,ギアナ海老　大型,えび,1680,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007003,ギアナ海老　小型,えび,620,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007004,イリアン海老　L,えび,798,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007005,イリアン海老　M,えび,672,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007006,イリアン海老　S,えび,494,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007007,イリアン海老　有頭大,えび,1281,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007008,（生）むきえび,えび,592,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007009,浜ゆで桜海老,えび,599,2011/06/01 02:20:02,999999999,インポート可,在庫数によらず注文を受ける
007010,甘えび,えび,525,2011/06/01 02:20:02,999999998,インポート可,在庫数によらず注文を受ける
007011,大粒むきえび,えび,719,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007012,シーフードミックス,かに,704,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007013,たらばがに(生),かに,2688,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007014,毛がに,かに,2573,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007015,ずわいかに半肩,かに,588,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007016,骨なし　かに棒肉,かに,557,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007017,本ズワイ爪ポーション,かに,515,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007018,かにほぐし身,かに,347,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007019,真だこ,水産加工品,494,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007020,味付たこ,水産加工品,357,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007021,紋甲イカ,かに,819,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007022,するめいか,かに,399,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007023,ヤリイカ（小）,かに,273,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007024,ヤリイカ リングカット,かに,347,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007025,ボイル紋甲いかゲソ,かに,305,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007026,真いかソーメン（函館）,かに,378,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007027,スルメイカ（リング＆ゲソ）,かに,305,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007028,いか照焼き,かに,326,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007029,シマアジ,刺身,672,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007030,平目刺,刺身,641,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007031,鯛 刺,刺身,441,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007032,カンパチ刺,刺身,494,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007033,かつおたたき,刺身,389,2011/06/04 02:20:01,999999997,インポート可,在庫数によらず注文を受ける
007034,下りカツオ,刺身,473,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007035,紅 刺,刺身,410,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007036,びんちょうまぐろ,まぐろ,546,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007037,くじら刺,刺身,473,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007038,ハマチたたき,刺身,410,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007039,太刀魚刺,刺身,494,2014/09/04 10:57:27,100,インポート可,在庫数によらず注文を受ける
007040,スズキ刺,刺身,452,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007041,真あじ刺,刺身,368,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007042,トロさんま刺,刺身,378,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007043,イワシ刺,刺身,326,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007044,たこの薄造り（タレ付）,刺身,347,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007045,（小）数の子（味付）,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007046,イリアン海老　えび刺,お刺身セット,315,2011/06/11 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007047,（小）シマアジ,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007048,（小）甘えび,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007049,（小）メバチまぐろ赤身,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007050,（小）紅刺,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007051,（小）紋甲イカ,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007052,（小）イクラしょうゆ漬,お刺身セット,315,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007053,（小）カンパチ刺,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007054,（小）帆立貝柱,お刺身セット,315,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007055,（小）真だこ,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007056,（小）鯛刺,お刺身セット,315,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007057,インドまぐろトロ,まぐろ,777,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007058,インドまぐろ赤身,まぐろ,1208,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007059,メバチまぐろ中トロ,まぐろ,1092,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007060,メバチまぐろ赤身,まぐろ,777,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007061,メバチまぐろ角切,まぐろ,693,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007062,メバチまぐろ切落し,まぐろ,630,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007063,メバチまぐろ丼の具,湯煎・レンジ編,452,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007064,帆立丼の具,湯煎・レンジ編,410,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007065,イカぶっかけ丼の具,湯煎・レンジ編,315,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007066,ネギトロかつお丼,湯煎・レンジ編,441,2011/06/04 02:20:01,999999998,インポート可,在庫数によらず注文を受ける
007067,真鯛茶漬け（ごま風味）,湯煎・レンジ編,326,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
007068,真あじ茶漬け,湯煎・レンジ編,273,2011/06/04 02:20:01,999999999,インポート可,在庫数によらず注文を受ける
